1899 Hoffenheim;1. FSV Mainz 05;1;2;0;10210;1298734200000
1. FC Köln;SC Freiburg;1;0;0;10211;1298734200000
1. FC Kaiserslautern;Hamburger SV;1;1;0;10212;1298734200000
FC St. Pauli;Hannover 96;0;1;0;10213;1298734200000
Bayer Leverkusen;VfL Wolfsburg;3;0;0;10214;1299349800000
Borussia Dortmund;1. FC Köln;1;0;35;10215;1299270600000
VfB Stuttgart;FC Schalke 04;1;0;0;10216;1299339000000
Hamburger SV;1. FSV Mainz 05;2;4;404;10217;1299432600000
Eintracht Frankfurt;1. FC Kaiserslautern;0;0;0;10218;1299339900000
Bor. Mönchengladbach;1899 Hoffenheim;2;0;0;10219;1299339000000
SC Freiburg;Werder Bremen;1;3;0;10220;1299425400000
Hannover 96;FC Bayern München;3;1;29;10221;1299339000000
1. FC Nürnberg;FC St. Pauli;5;0;0;10222;1299339000000
FC Bayern München;Hamburger SV;6;0;34;10223;1299943800000
FC Schalke 04;Eintracht Frankfurt;2;1;33;10224;1299943800000
Werder Bremen;Bor. Mönchengladbach;1;1;36;10225;1299954600000
VfL Wolfsburg;1. FC Nürnberg;1;2;20;10226;1299943800000
1. FSV Mainz 05;Bayer Leverkusen;0;1;0;10227;1300030200000
1899 Hoffenheim;Borussia Dortmund;1;0;188;10228;1299943800000
1. FC Köln;Hannover 96;4;0;31;10229;1299875400000
1. FC Kaiserslautern;SC Freiburg;2;1;83;10230;1299943800000
FC St. Pauli;VfB Stuttgart;1;2;73;10231;1300037400000
Bayer Leverkusen;FC Schalke 04;2;0;0;10232;1300635000000
Borussia Dortmund;1. FSV Mainz 05;1;1;35;10233;1300559400000
VfB Stuttgart;VfL Wolfsburg;1;1;0;10234;1300642200000
Hamburger SV;1. FC Köln;6;2;362;10235;1300548600000
Eintracht Frankfurt;FC St. Pauli;2;1;30;10236;1300548600000
Bor. Mönchengladbach;1. FC Kaiserslautern;0;1;32;10237;1300480200000
SC Freiburg;FC Bayern München;1;2;26;10238;1300548600000
Hannover 96;1899 Hoffenheim;2;0;29;10239;1300548600000
1. FC Nürnberg;Werder Bremen;1;3;21;10240;1300548600000
FC Bayern München;Bor. Mönchengladbach;1;0;0;10241;1301758200000
Werder Bremen;VfB Stuttgart;1;1;0;10242;1301758200000
Borussia Dortmund;Hannover 96;4;1;0;10243;1301758200000
VfL Wolfsburg;Eintracht Frankfurt;1;1;0;10244;1301851800000
1. FSV Mainz 05;SC Freiburg;1;1;0;10245;1301758200000
1899 Hoffenheim;Hamburger SV;0;0;0;10246;1301769000000
1. FC Köln;1. FC Nürnberg;1;0;0;10247;1301844600000
1. FC Kaiserslautern;Bayer Leverkusen;0;1;0;10248;1301758200000
FC St. Pauli;FC Schalke 04;0;2;171;10249;1301689800000
FC Schalke 04;VfL Wolfsburg;1;0;33;10250;1302363000000
Bayer Leverkusen;FC St. Pauli;2;1;0;10251;1302456600000
VfB Stuttgart;1. FC Kaiserslautern;2;4;0;10252;1302373800000
Hamburger SV;Borussia Dortmund;1;1;27;10253;1302363000000
Eintracht Frankfurt;Werder Bremen;1;1;30;10254;1302294600000
Bor. Mönchengladbach;1. FC Köln;5;1;0;10255;1302449400000
SC Freiburg;1899 Hoffenheim;3;2;26;10256;1302363000000
Hannover 96;1. FSV Mainz 05;2;0;29;10257;1302363000000
1. FC Nürnberg;FC Bayern München;1;1;21;10258;1302363000000
FC Bayern München;Bayer Leverkusen;5;1;0;10259;1303054200000
Werder Bremen;FC Schalke 04;1;1;0;10260;1302978600000
Borussia Dortmund;SC Freiburg;3;0;0;10261;1303061400000
Hamburger SV;Hannover 96;0;0;0;10262;1302967800000
